,Unnamed: 0,title,url,extracted keywords,summary,Scraped Content
10,10,Agents,/usingllms/agents,"Agents, prompts, chaining, automation, LangChain, Prediction Guard LLMs, SerpAPI","The company focuses on developing agents and automation for tasks like prompt engineering, chaining, and using tools like LangChain and SerpAPI. They aim to explore LangChain agents with Prediction Guard LLMs for detecting and automating actions. The goal is to create agents that can search the internet, generate responses, and log their activities.","Agents
(Run this example in Google Colabhere(opens in a new tab))
Prompts, chaining, and prompt engineering is important. However, you might not always know what chain or prompts you need to execute prior to receiving user input or new data. This is where automation andagentscan help. This is an active area of development, but some very useful tooling is available.
In the following we will explore usingLangChain agents(opens in a new tab)with Prediction Guard LLMs to detect and automate LLM actions.
We will use LangChain again, but we will also use a Google search API called SerpAPI. You can get a free API key for SerpAPIhere(opens in a new tab).
To setup an agent that will search the internet on-the-fly and use the LLM to generate a response:
This will verbosely log the agents activities until it reaching a final answer and generates the response:"
11,11,Process LLM Input,/input,"Prediction Guard, personally identifiable information (PII), incoming prompts, injection attacks, LLMs, remove P","Prediction Guard offers enhanced security by modifying PII in prompts and detecting injection attacks, protecting data before reaching LLMs. Key features include PII removal and prompt injection detection.","Input Handling
With Prediction Guard, you get an extra layer of security that allows you to modify of personally identifiable information (PII) in incoming prompts and detect  injection attacks before the prompts hit the LLMs.
Remove PII from incoming prompts
Detect prompt injections"
12,12,PII modification,/input/PII,"PII anonymization, personally identifiable information, Prediction Guard, fake names, LLM, utility, privacy","Prediction Guard offers PII anonymization to detect and handle sensitive data in prompts. Features include detecting names, email addresses, phone numbers, and more. It can replace PII with fake names or random characters while maintaining utility.","PII anonymization
Some of your incoming prompts may include personally identifiable information (PII). With Prediction Guard's PII anonymization feature, you can detect PII such as names, email addresses, phone numbers, credit card details, and country-specific ID numbers like SSNs, NHS numbers, and passport numbers. Here's a demonstration of how this works:
This outputs the PII entity and indices of where the info was found:
To maintain utility without compromising privacy, you have the option to replace PII with fake names and then forward the modified prompt to the LLM for further processing:
The processed prompt will then be:
Other options for theparameter include:(to replace the detected PII with random character),(to mask the PII with the entity type) and(simply replace with)."
13,13,Prompt injection detection,/input/injection,"Prompt injection detection, LLMs, injection attacks, Prediction Guard, probability score, blocking, safeguarding,","Prediction Guard helps detect prompt injection attacks in LLMs integration, providing probability scores and blocking options to safeguard against potential threats.","Prompt injection detection
There are several types of prompt injection attacks, new attacks being discovered at a rapid speed. As you integrate LLMs to regular workflow is is always good to be prepared against these injection attacks.
With Prediction Guard, you have the ability to assess whether an incoming prompt might be an injection attempt before it reaches the LLM. Get a probability score and the option to block it, safeguarding against potential attacks. Below, you can see the feature in action, demonstrated with a modified version of a known prompt injection:
We can now get an output with probability of injection
Let's try this again with an inoccuous prompt:
which outputs:"
14,14,Validating LLM Output,/output,"Validating, LLM, Output, Prediction Guard, Control, Consistency, Factuality, Toxicity","Prediction Guard offers control over LLM output by ensuring consistency, factuality, and filtering toxicity, customizable for various use cases.","Validating LLM Output
With Prediction Guard, you can control the output of LLMs in the following ways (which can be mixed and matched according to your use case and constraints):
Check for consistency
Filter for factuality
Filter for toxicity"
15,15,Consistency,/output/consistency,"Consistency, LLMs, Prediction Guard, API calls, boolean, field/argument, error.","Prediction Guard focuses on ensuring consistency in LLM output by providing a single API call that prompts an LLM multiple times, checks for consistent responses, and returns errors if inconsistencies occur. This feature can be easily implemented by setting a boolean value in the Prediction Guard field.","Consistency
You might be struggling with inconsistent output from LLMs. Even if you set parameters likelow, you could
get non-deterministic output from your models. Prediction Guard has built in consistency checks.
Rather than looping over multiple API calls, you can make one API call that will concurrently prompt an LLM multiple times, check for consistent output, and return an error if there is inconsistent output.
Let's use the following example prompt template to illustrate the feature.
To enforce consistency on any output, it's as simple as settingequal to a booleanin thefield/argument to Prediction Guard:
If there is consistency in the calls to the LLM, you get standard output similar to:
But if the LLM isn't consistent in the output (in this case the classification of the text), you get an error:"
16,16,Factuality,/output/factuality,"LLM, factuality checks, accuracy, Prediction Guard, SOTA models, customer-facing products,","Prediction Guard focuses on ensuring accuracy in LLM-based applications by using SOTA models for factuality checks. It offers two methods: adding factuality=True or using the /factuality endpoint. The tool can detect hallucinations and provides error statuses when needed. Additionally, it has a standalone factuality checking functionality for configuring thresholds and scoring arbitrary inputs.","Factuality checks
Navigating the llm landscape can be tricky, especially with hallucinations or inaccurate answers. Whether you're integrating llms into customer-facing products or using them for internal data processing, ensuring the accuracy of the information provided is essential. Prediction Guard used SOTA models for factuality check to evaluate the outputs of LLMs against the context of the prompts. You can either add factuality=True or use /factuality endpoint to directly access this functionality.
Let's use the following  prompt template to determine some features of an instragram post announcing new products. First, we can define a prompt template:
We can then check the factulaity score of the answer that is generated by the llm:
This outputs something similar to:
Now, we could try to make the model hallucinate. However, the hallucination is caught and Prediction Guard returns an error status:
This outputs something similar to:
Standalone Factuality functionality
You can also call the factuality checking functionality directly using theendpoint, which will enable you to configure thresholds and score arbitrary inputs."
17,17,Toxicity,/output/toxicity,"Toxicity checks, Prediction Guard, offensive content, inappropriate content, toxic text, online interactions","Prediction Guard offers advanced toxicity detection for LLM outputs, helping to identify and filter inappropriate content. This feature is useful for managing online interactions, content creation, and customer service. Enabling toxicity checks ensures safe and controlled content.","Toxicity checks
It is likely that the llm output may contain offensive and inappropriate content. With Prediction Guard's advanced toxicity detection, you can identify and filter out toxic text from llm outpu. Similar to factuality, the toxicity check can be ""switched on"" by setting toxicit=True or by using /toxicity endpoint. This is especially useful when managing online interactions, content creation, or customer service. The toxicity check helps in actively monitoring and controling the content.
Toxicity on Text Completions
Let's now use the same prompt template from above, but try to generate some comments on the post. These could potentially be toxic, so let's enable Prediction Guard'scheck:
Note,indicates that Prediction Guard will check for toxicity. It does NOT mean that you want the output to be toxic.
The above code, generates something like:
If we try to make the prompt generate toxic comments, then Predition Guard catches this and prevents the toxic output:
This results in:
Standalone Toxicity functionality
You can also call the toxicity checking functionality directly using theendpoint, which will enable you to configure thresholds and score arbitrary inputs."
18,18,Guides,/guides,"Guides, LLMs, Prediction Guard, LangChain, data analysis, DuckDB, information extraction,","Prediction Guard focuses on LangChain integration, using LLMs for data analysis, fact-checked information extraction, and developing chatbots. They aim to help build amazing LLM applications.","Guides
LangChain LLM- How to use LLMs from Prediction Guard as LLMs in LangChain.
Data analysis with LLMs and DuckDB- Answer questions from your database with Prediction Guard LLMs
Fact checked information extraction with LLMs- Extract data from unstructured text and check that extracted data for factual consistency
In the works:
Simple chatbots
Multilingual chat
Generating customer support responses
Contact us in Slackif you have these or other use cases. We want to make sure you can build amazing LLM applications with Prediction Guard."
19,19,Data analytics with LLMs + DuckDB,/guides/ada,"LLMs (Large Language Models), Data analysis, SQL query generation, Natural language processing","The company focuses on using large language models (LLMs) like Nous-Hermes-Llama2-13B and WizardCoder for data analysis and SQL query generation. They aim to leverage these models' capabilities to generate industry-standard SQL queries from plain English questions, providing benefits such as using a well-established language and avoiding less secure auto-generated code. The Prediction Guard platform provides access to these models, and the company demonstrates their approach using a Tesla used cars dataset. They also integrate with DuckDB for executing SQL queries on various types of data, making it seamless for organizations to adopt natural language conversational analytics.","Using LLMs for Data Analysis and SQL Query Generation
(Run this example in Google Colabhere(opens in a new tab))
Large language models (LLMs) like Nous-Hermes-Llama2-13B and WizardCoder have demonstrated impressive capabilities for understanding natural language and generating SQL. We can leverage these skills for data analysis by having them automatically generate SQL queries against known database structures.
Unlike code generation interfaces that attempt to produce executable code from scratch, our approach focuses strictly on generating industry-standard SQL from plain English questions. This provides two major benefits:
SQL is a well-established language supported across environments, avoiding the need to execute less secure auto-generated code.
SQL is a well-established language supported across environments, avoiding the need to execute less secure auto-generated code.
Mapping natural language questions to SQL over known schemas is more robust than attempting to generate arbitrary code for unfamiliar data structures.
Mapping natural language questions to SQL over known schemas is more robust than attempting to generate arbitrary code for unfamiliar data structures.
By combining language model understanding of questions with a defined database schema, the system can translate simple natural language queries into precise SQL for fast and reliable data analysis. This makes surfacing insights more accessible compared to manual SQL writing or hopelessly broad code generation.
Prediction Guard provides access to such state-of-the-art models that maintain strong capabilities while including safety measures to mitigate potential harms. We'll walk through an example of using these LLMs for data analysis on sample Tesla data from Kaggle.Link to dataset(opens in a new tab)
Understanding Table Data
This dataset contains information on various used Tesla cars available for purchase on the Tesla website in the United States. The data was collected through web scraping and provides detailed specifications and prices for different Tesla models.
A closer look at the data :
We load this sample Tesla used cars dataset with Pandas:
Next, we will define a semantically meaningful data dictionary which describes table names, column names, and corresponding data counts.
Query Generation with LLMs
We'll use the LangChain library to simplify prompting our LLM. Specifically, we will define a prompt template that instructs the LLM to generate a SQL query answering our question based on the table schema:
The function ""generate_and_process_query"" makes use of the ""Nous-Hermes-Llama2-13B"" language model. It constructs a prompt string by formatting the input question and a DataFrame's value counts into the prompt. The model generates a completion for the prompt, and the resulting text is processed to extract an SQL query using a regular expression. The extracted query is then returned.
We could also utilize models like ""deepseek-coder-6.7b-instruct"" to get similar outputs.
Using DuckDB with LLMs
For this example we useDuckDB(opens in a new tab)to execute the SQL queries produced by the LLM on our Pandas dataframe data. DuckDB could also be used to execute similar queries against live databases or other types of data. DuckDB allows executing standard ANSI SQL queries on a variety of types of data, whether from CSVs or enterprise SQL databases. We can leverage LLMs to auto-generate optimized SQL for analyzing datasets from an organization's existing database infrastructure.
For demonstration purposes, we load reference data into a DuckDB instance as a proxy for a real production database. However, in a live enterprise environment, DuckDB would integrate directly with systems like Postgres, Redshift, or Snowflake to enable natural language queries across the company's data.
The underlying architecture supports both standalone CSV analysis as well as live connected databases through DuckDB. By generating ANSI SQL queries, the system can surface insights over existing data warehouses without disruption. This makes adopting natural language conversational analytics seamless for any organization.
Query Execution
The below code provides an interactive command line interface that allows users to ask analytical questions in plain English. It then handles the complexity of converting those natural language questions into structured SQL queries that can extract insights from data.
When a user provides a question through text input, the key mechanism that drives the conversion to SQL is the generate_and_preprocess_query() function. This handles the natural language processing required to analyze the question and construct an appropriate database query.
The resulting SQL query is printed back to the user before also being executed automatically through integration with the DuckDB database. DuckDB allows running SQL queries in a simple and lightweight manner within the Python environment.
Finally, the full results of the query are formatted as a Pandas DataFrame and printed to display the retrieved data insights back to the user.
These steps could be adapted to any dataset and expanded with visualization of result data frames using libraries like."
20,20,Data Extraction + Factuality Checks,/guides/data-extraction,"data extraction, factuality checks, patient information, simulated doctor-patient transcripts","The company focuses on data extraction, factuality checks, and language model-based information processing. They demonstrate this through a guide using a Kaggle dataset, data loading, summarization, and question answering. They emphasize the importance of factuality checks using Prediction Guard for ensuring accuracy and reliability in their outputs.","Data extraction example with factuality checks
This guide demonstrates the extraction of patient information from simulated doctor-patient transcripts. The extracted information is validated using a thefactual consistency checksfrom Prediction Guard. The example focuses on the first 5 rows of a Kaggle dataset containing example simulated doctor-patient transcripts.
Load the data
Download the data from thisjson file. You can then use the code below to load the necessary libraries and the dataset from the above mentioned JSON file. The code converts the data into a Pandas DataFrame and selects the first 5 rows for testing.
Summarize the data
When processing uniquely formatted, unstructured text with LLMs, it is sometimes useful to summarize the input text into a coherent and well-structured paragraph. The code below defines a prompt for summarization, creates a prompt template using LangChain, and uses theto generate summaries for each transcript. The generated summaries are added as a new column in the DataFrame, and we save them to a CSV file (in case we want them later).
Extract Information and Perform Factuality Checks
We can now create a question answering prompt and prompt template to perform the information extraction. This prompt template can be re-used to answer relevant questions from the data - symptoms, Patient name, when the symptom started, level of pain the patient is experiencing, etc.
Factuality checks are crucial for evaluating the accuracy of information provided by the language model, especially when dealing with high risk data. Prediction Guard leverages state-of-the-art models for factual consistency checks, ensuring the reliability of outputs in reference to the context of the prompts. Thus, after we prompt the model with each question, we evaluate the responses against the corresponding transcript summaries. Factuality scores are generated to assess the accuracy of the answers.
You can also call the factual consistency checking functionality directly using theendpoint, which will enable you to configure thresholds and score arbitrary inputs."
21,21,LangChain LLM Wrapper,/guides/langchainllm,"Prediction Guard, LangChain, AI projects, LLMs, composability, Python SDK, access token, L","LangChain is an AI project focused on building applications with LLMs through composability. Prediction Guard addresses the need for hosting and controlling LLMs, complementing LangChain's capabilities. Combining both offers a framework for developing controlled and compliant applications using language models. The article provides installation, setup, and usage instructions for integrating Prediction Guard with LangChain.","Using Prediction Guard proxies in LangChain
LangChain(opens in a new tab)is one of the most popular AI projects, and for good reason! LangChain
helps you ""Build applications with LLMs through composability."" LangChain doesn't host LLMs or provide a standardized API for controlling LLMs, which is addressed by Prediction Guard. Therefore, combining the two (Prediction Guard + LangChain) gives youa framework for developing controlled and compliant applications powered by language models.
Installation and Setup
Install the Python SDK with
Get a Prediction Guard access token (as describedhere(opens in a new tab)) and set it as the environment variable.
LLM Wrapper
There exists a Prediction Guard LLM wrapper, which you can access with
You can provide the name of the Prediction Guard model as an argument when initializing the LLM:
You can also provide your access token directly as an argument:
Finally, you can provide an ""output"" argument that is used to validate the output of the LLM:
Example usage
Basic usage of the controlled or guarded LLM wrapper:
Basic LLM Chaining with the Prediction Guard wrapper:"
22,22,ManyChat with LLMs,/guides/ManyChat,"ManyChat, Prediction Guard API, LLM responses, chat automation, customer service, chat requests, lambda function","ManyChat is a popular chat automation tool used for customer service. It integrates LLM responses using the Prediction Guard API, offering two methods: a simple one-question approach and a more complex method with context. The guide provides examples and steps for implementing both methods, focusing on creating a seamless conversation experience for customers.","ManyChat Example: Implementing LLM Responses with Prediction Guard API
Overview
ManyChat, a popular chat automation tool, is used extensively for customer service. This guide covers two methods to integrate LLM responses using the Prediction Guard API. The first method is straightforward, involving a single question without context, and can be set up quickly without manual coding. The second method is more complex, requiring a lambda function (or similar) to process chat requests, interact with Prediction Guard, and respond via ManyChat'sdynamic block(opens in a new tab). While it's possible to manage context solely within ManyChat, it requires significant manual effort and you will possibly lose context after a certain amount of responses.
No Context Example
Our goal in this example is to allow the customer to click a button if they need a question answered. This will send a request to the Prediction Guard Chat API endpoint and the response from the API will be sent to the customer as a Telegram message. They can then choose to ask a new question, speak to an agent, or close the conversation.
Prerequisites
Prediction Guard API Key
Sign up for ManyChat(opens in a new tab)(Premium account required)
Create two ManyChat User Custom fields(opens in a new tab)(User_Question1, Bot_Response1)
Create a Telegram bot(opens in a new tab)
Steps
Create a New Automation:Begin by setting up a new automation.
Trigger Automation:Select an appropriate context to trigger the automation.
Create a Telegram Menu:Use a telegram send message block to build a menu. Include a “Question?” button to send user queries to Prediction Guard.
User Input Block:Add a block for users to input their questions.

Prompt and Save Response:Prompt users to enter their question and save the response to a custom field (e.g., User_Question1).
External Request Action Block:Set up this block for making HTTP Post requests tohttps://api.predictionguard.com/chat(opens in a new tab)with necessary headers and body.
The body should look something like this (make sure to add the user question field to the request):

Clear User Field for Bot_Response1:This should be above the External Request Action.
Test the Response:Ensure that the system works as intended.
Map Response to Custom Field:Link the API response to the Bot_Response1 custom field. (The JSON path should be something like this : $.choices[0].message.content)
Create Response Message Block:Set up a block in ManyChat to relay the response to the user (this should output the Bot_Response1 field).
Provide Additional Options:Include options for users to ask new questions (this would route back to the external request block), speak to an agent, or close the conversation.
After completing this example your flow should look like this:
Include Conversation Context Example
Our goal in this example is to allow the customer to click a button if they need a question answered. However, notably this will include the context of the previous questions. This will send a request to your personal Lambda function url that processes the ManyChat input, makes an API request to PredictionGuard, and formats the response for ManyChat. The ManyChat response will send the message to the customer and also replace/create the text in your context fields in manychat you will create. They can then choose to continue that conversation, ask a new question (which will clear the context fields), speak to an agent, or close the conversation.
Prerequisites
Your Prediction Guard API Key
Sign-up for Manychat(opens in a new tab)(must be a premium account)
Create two Manychat User Custom fields(opens in a new tab)(User_Text, Bot_Text)
Create a telegram bot(opens in a new tab)
AWS Lambda Function that can be reached by the Internet(opens in a new tab)
Steps
Follow Basic Example Steps:Implement steps 1-6 from the no context example.
Use Dynamic Content:Instead of making an External Request Action Block we are actually going to add a “Get Dynamic Content” block:

Send Data to Lambda Function:Configure the block to send ""Full Contact Data"" to yourLambda function URL(opens in a new tab):

Lambda Function Goals:
Parse Incoming Request.
Extract Custom Fields.
Extract Conversation History which we will save to the User_Text, Bot_Text customTEXTcustomer fieldsyou should have made(opens in a new tab). We will not be using an array type due to current limitations at the time of creating this article. However, these should be stored in an array type format so you can programmatically build thePrediction Guard API chat request(opens in a new tab).
Append the last customer input to the user messages array (User_Text)
Prepare Messages for API Request by formatting a request in the format required by thePrediction Guard API(opens in a new tab)
Make API Request to Prediction Guard and Process Response
Append the Prediction Guard chat response to the bot messages array (Bot_Text)
Format ManyChat Response (it must be formatted as noted in thisdoc(opens in a new tab), please make sure to note what platform you are using) This will respond to the user and also save over the new User_Text, Bot_Text with the new complete context.
JavaScript Example for Lambda Function
Response Format for ManyChat (Telegram)
Your response to ManyChat for Telegram should look something likethis(opens in a new tab):
Configure the rest of the flowThe customer should be able to continue the conversation. This should just route back to the dynamic request without clearing the user fields.The customer should also be able to ask a new question, which should clear the user fields. This action clears the context of the conversation.Finally, it is best to provide a way for a person to reach a real human agent and close the ticket if they so desire.
Configure the rest of the flow
The customer should be able to continue the conversation. This should just route back to the dynamic request without clearing the user fields.
The customer should also be able to ask a new question, which should clear the user fields. This action clears the context of the conversation.
Finally, it is best to provide a way for a person to reach a real human agent and close the ticket if they so desire.
After completing this your flow should look like this:

If you followed this example your Telegram bot should be able to respond with the context of the entire conversation:

Happy chatting!"
23,23,Reference,/reference,"Prediction Guard, API, Python, client, REST API, access token, Bearer token. ",Prediction Guard is a company offering a Python Client for simplified API interaction with their REST API. The API can be accessed using Python 3.6+ and an access token for authentication. The main focus is on prediction-related services.,"API Reference
Python Client
This package provides functionality developed to simplify interfacing with the Prediction Guard API in Python 3.
GitHub(opens in a new tab)
PyPI(opens in a new tab)
To install the Prediction Guard Python client:
Requirements:
Python 3.6+
REST API
All of the functionalities of Predition Guard can be accessed through a REST API. The base URL for the API
is. You can authenticate to the API using youraccess token(opens in a new tab)as a Bearer token."
24,24,Chat,/reference/chat,"Chat, chat enabled models, REST API endpoint, Python client class, chat text completions. ","Key points: Chat text completions, chat-enabled models, REST API endpoint, Python client class, generate chat text completion. Focus on chat features and integration methods.","Chat
You can get chat text completions (based on a thread of chat messages) from any of the chat enabledmodelsusing theREST API endpoint orPython client class.
Generate a chat text completion"
25,25,Completions,/reference/completions,"Completions, text completions, models, REST API endpoint, class, privacy-conserving.","Key points: Privacy-conserving text completions, available models, REST API endpoint, Python client. Focus on offering secure and convenient text generation solutions.","Completions
You can get privacy-conserving text completions from any of theavailable modelsusing a call to theREST API endpoint or theclass in the Python client.
Generate a text completion"
26,26,Factuality,/reference/factuality,"Factuality, factual consistency, endpoint, class, reference text, candidate text, factuality score.",Factuality scores measure text consistency based on comparison of reference and candidate texts. Higher scores indicate greater factuality. This feature is available in the Python client.,"Factuality
You can get factuality scores (or rather factual consistency scores) from theendpoint orclass in the Python client. This endpoint/Class takes two parameters:
- A reference text with which you want to compare another text for factual consistency.
- The candidate text that will be scored for factual consistency.
The output will include athat ranges from 0.0 to 1.0. The higher the score, the more factuality consistency between theand the.
Generate a factuality score
The output will look something like:"
27,27,Injection,/reference/injection,"Prompt Injections, Python client, endpoint/Class, parameters, boolean, injections, score, probability.",Prompt Injections is a feature in Python client for detecting potential injections in prompts. It takes two parameters and provides a score from 0.0 to 1.0 to assess injection probability.,"Prompt Injections
You can check for Prompt Injections from theorclass in the Python client. This endpoint/Class takes two parameters:
- The prompt you would like to check for potential injections.
- A boolean for whether you would like any injection to be scored and blocked. (Mainly used in the Completions/Chat endpoints).
The output will include a score from 0.0 to 1.0. The higher the score, the higher the probability of the checked prompt being an injection.
Check for Prompt Injection"
28,28,Pii,/reference/PII,"PII, endpoint, class, Python, Client, prompt, replace, found, method, output. ","The company focuses on a Python Client for managing Personal Identifiable Information (PII) in endpoints and classes. It offers features to check, replace, and customize PII handling with various methods.","PII
You can check and replace Personal Identifiable Information (PII) from theendpoint orclass in the Python Client. This endpoint/Class takes three parameters:
- The prompt that you want to check for PII.
- A boolean for replacing the PII if any is found.
- The method you would like to use to replace any found PII. The methods are,,, and.
The output will include the replaced PII if any is present, or will tell you if any PII is in the prompt isis not chosen.
Check and Replace PII"
29,29,Toxicity,/reference/toxicity,"Toxicity, score, endpoint, class, candidate, text, output. import React from 'react';
","The company offers a toxicity scoring feature in their Python client. It takes a text parameter and provides a score from 0.0 to 1.0, with higher scores indicating more toxic content.","Toxicity
You can get toxicity scores from theendpoint orclass in the Python client. This endpoint/Class takes a singleparameter, which should include the candidate text to be scored for toxicity. The output will include athat ranges from 0.0 to 1.0. The higher the score, the more toxic the.
Generate a toxicity score
The output will look something like:"
30,30,Translate,/reference/translate,"Translation API, machine translation, translation quality scores, ISO 639, source language, target language, LLM","The company offers machine translation and quality scores through their API. It uses multiple models to provide translations and ranks them based on quality. Supported languages include English, Hindi, French, Spanish, German, and more. The /translate endpoint returns translated text and a quality score.","Translate
You can get machine translation and translation quality scores from theendpoint. This endpoint/class takes three parameters:
- The text to translate.
- The ISO 639 source language code (e.g. 'eng' for English).
- The ISO 639 target language code (e.g 'fra' for French).
Under the hood, theendpoint simultaneously leverages multiple state-of-the-art LLM and machine translation models to perform translations. The translations from these models are scored and ranked using reference-free quality estimation models. This allows us to select the highest quality machine translation for the given source and target languages.
Supported Languages
Our translation API supports a wide range of languages, including but not limited to English, Hindi, French, Spanish, German, and more. Refer to the language codes to identify specific languages.


The /translate endpoint will return a JSON object response with two fields:
- The translated text.
- A score from -1.0 to 1.0 representing the translation quality. Higher the score better the quality.
Generate a translation
The output will look something like:"
